"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"Alanine";-0.95;0.04;0.28;-0.01;-0.05
"Arginine";-0.83;0.13;0.38;0;0.29
"Asparagine";0.96;0.23;0.14;0.01;0.04
"Aspartate";0.95;0.24;-0.05;0.14;-0.05
"Cystein";-0.74;-0.05;0.48;0.01;0.45
"Gaba";-0.38;0.81;0.03;0.05;0.2
"Glutamine";0.06;0;0.68;0.19;-0.13
"Glutamate";0.89;0.37;-0.26;0.05;0.02
"Glycine";0.63;-0.05;0.7;0.22;0.14
"Isoleucine";0.94;0.27;0.14;0.15;-0.04
"Leucine";0.85;0.45;0.2;0.18;0
"Lysine";0.59;0.7;0.08;0.03;-0.07
"Phenylalanine";-0.61;0.27;0.48;0.24;-0.14
"Proline";0.15;0.53;0.77;-0.06;-0.2
"Serine";0.94;0.24;0.16;0.1;0.17
"Threonine";0.97;0.07;0.16;0.11;0.07
"Tryptophan";-0.96;-0.12;0.22;-0.04;0.02
"Tyrosine";-0.54;0.51;0.3;0.51;-0.08
"Valine";0.76;0.54;0.26;0.22;-0.05
"alpha.Tocopherol";0.65;-0.27;-0.02;-0.41;0.33
"beta.Sitosterol";-0.69;0.16;-0.47;0.43;0.11
"Campesterol";-0.04;0.18;-0.4;0.73;0.36
"gamma.Tocopherol";0.95;0.22;-0.14;0.09;0.06
"Eicosanoate";-0.95;-0.21;0.17;0.04;-0.01
"Heptadecanoate";-0.8;-0.23;0.29;0.19;-0.06
"Linoleic.acid";-0.65;-0.2;0.36;0.25;0.49
"Linolenic.acid";-0.63;-0.38;-0.04;-0.38;0.13
"Stearic.acid";-0.76;-0.34;0.19;0.26;0.26
"Tetracosanoate";-0.73;-0.48;0.23;0.29;0
"Quercetin";-0.73;0;0.33;0.13;0.49
"Quercitrin";-0.96;0.17;-0.13;0.07;-0.12
"X4MTB";0.95;-0.28;0.03;0.04;0.05
"X5..methylthio.pentanenitrile";0.87;0.42;0.16;-0.1;-0.04
"X5MTP";0.94;-0.27;-0.02;0.06;0.03
"X6MTH";0.95;-0.24;-0.08;0.08;0.05
"X7MTH";0.95;-0.24;-0.07;0.07;0.05
"X8MTO";0.92;-0.11;-0.29;0.13;0.03
"BenzoylGlucosinolate.2Breakdown";0.49;0.6;0.33;-0.32;-0.18
"BenzoylGlucosinolate.3Breakdown";-0.95;0.31;-0.05;0.01;0
"BenzoylX.Glucosinolate.3";0.78;0.26;-0.49;0.25;-0.02
"Hexanenitrile.6methylthio";0.79;0.53;0.24;-0.16;0.01
"Nonanenitrile.9.methylthio";-0.96;0.17;0.15;-0.1;0.02
"Octanenitrile.8.methylthio";-0.26;0.85;0.37;-0.15;-0.03
"Sulfite";0.95;-0.25;0.04;0.09;-0.06
"U2609.4.361";0.88;0.14;-0.37;0.21;-0.01
"U3122.4.202.I3M.";0.97;-0.06;-0.12;0.12;0
"UGlucosinolate140.1";0.86;-0.44;0.21;-0.01;0.07
"UGlucosinolatebreakdown140.4";0.89;0.19;0.39;0.08;0.03
"UGlucosinolatebreakdown140.5";-0.08;0.49;0.65;-0.13;0.3
"H2SO4";0.84;0.37;-0.24;0.16;0.13
"X2.Hydroxyglutarate";-0.57;0.66;-0.02;0.47;-0.05
"X2.Oxoglutarate";0.21;-0.41;-0.16;-0.16;0.26
"Citrate";0.11;0.63;-0.16;0.73;-0.13
"Dehydroascorbate";-0.19;0.08;0.46;-0.07;-0.55
"dihydroxybenzoate";-0.42;-0.32;-0.07;0.45;0.01
"Erythronate";0.03;0.67;-0.05;0.73;-0.07
"Fumarate";-0.47;0.63;-0.42;0.39;-0.19
"Galactonate";0.61;0.69;-0.07;0.13;0.04
"Gluconate";0.52;0.63;-0.2;0.51;0
"Glycerate";-0.91;0.23;0.09;0.32;0.01
"Malate";-0.07;0.74;-0.08;0.61;-0.19
"Maleate";-0.74;0.3;-0.4;-0.17;-0.13
"Pentonate.4";0.65;0.52;-0.48;-0.06;0.16
"Sinapinate.cis";-0.89;0.23;0.13;-0.26;-0.22
"Sinapinate.trans";-0.29;0.82;-0.23;-0.37;0.01
"Succinate";-0.94;0.27;0.08;0.08;-0.02
"Threonate";0.29;0.87;-0.17;0.26;-0.12
"Allantoin";0.8;0.4;-0.32;0.19;0.08
"Arabitol";-0.24;0.7;0.31;0.03;0.25
"beta.indole.3.acetonitrile";-0.93;0.19;-0.26;0.06;-0.09
"Erythritol";-0.6;0.26;0.34;0.6;0.13
"Ethanolamine";-0.31;0.01;0.65;0.61;0.25
"Mannitol";0.27;0;-0.35;-0.53;0.59
"myo.Inositol";-0.51;0.78;0.02;0.2;0.05
"Sorbitol";0.3;0.27;-0.31;0.31;0.38
"Threitol";-0.39;0.23;0.29;0.53;0.36
"Urea";0.51;-0.41;-0.12;-0.05;0.33
"Xylitol";-0.88;0;0.34;0.09;0.2
"Ethylphosphate";-0.71;-0.1;0.42;0.22;0.14
"Fructose.6.P";-0.15;-0.38;-0.18;-0.22;-0.09
"Glycerol.3.P";0.85;0.11;0.34;-0.11;-0.18
"myo.Inositol.1.P";0.41;0.88;0.16;0.03;-0.04
"Phosphate";0.46;0.86;0.02;0.06;0.06
"U2206.2.299";0.01;0.81;0.31;0.28;0.28
"Anhydroglucose";0.94;0.29;0.05;-0.15;0.05
"Arabinose";0.42;0.67;-0.32;0.27;-0.4
"Digalactosylglycerol";0.96;0.17;-0.02;0.06;0.15
"Fructose";0.28;0.48;0.09;0.45;-0.47
"Galactinol";0.99;-0.1;0.1;-0.01;0.07
"Galactose";0.9;0.17;0;0.11;-0.34
"Galactosylglycerol";0.59;-0.4;-0.11;-0.03;0.29
"Glucopyranose..H2O.";0.88;0.27;0.29;0.05;0.02
"Glucose";-0.19;-0.09;0.5;0.58;-0.16
"Mannose";0.6;0.4;0.33;0.29;0.44
"Raffinose";-0.82;0;0.29;0.08;0.19
"Rhamnose";0.96;-0.2;0.09;0;0.12
"Ribose";-0.28;0.42;0.01;0.6;-0.05
"Stachyose";0.4;0.76;-0.23;0.18;0.19
"Sucrose";0.83;0.4;-0.23;0.1;0.21
"U1093.6.147";0.39;0.46;-0.46;0.01;-0.04
"U1124.3.140";0.27;0.33;-0.69;-0.13;0.41
"U1125.1.140";0.73;0.41;0.38;-0.27;0.11
"U1127.4.169";-0.17;0.28;-0.49;0.36;-0.34
"U1127.5.140";0.62;0.24;0.44;0.21;-0.38
"U1129.9.184";0.72;-0.56;-0.28;0.11;0.14
"U1154.3.156";-0.44;0.81;-0.32;0.08;0.07
"U1172.9.281";-0.48;0.12;0.26;0.23;0.73
"U1270.1.240";0.96;-0.23;-0.03;0.08;0.04
"U1290.198";0.62;0.46;0.16;-0.41;0.02
"U1371.5.151";-0.24;0.43;0.11;-0.42;0.38
"U1393.172";0.87;-0.13;0.44;0;-0.02
"U1408.4.298";0.98;-0.12;0.03;0.04;0.05
"U1530.2.314";0.22;0.45;-0.75;-0.08;0.28
"U1541.8.263";0.21;0.68;0.59;0.12;0.34
"U1549.7.130";-0.23;0.6;-0.05;-0.67;-0.09
"U1559.4.217";-0.86;0.42;0;-0.08;0.01
"U1568.5.313";-0.53;0.29;-0.03;-0.72;0.24
"U1592.8.217";0.04;0.48;-0.24;-0.53;0.44
"U1617.8.146";0.27;0.05;-0.58;-0.16;0.2
"U1628.9.233";0.83;-0.35;0.25;0.13;-0.16
"U1647.2.403";0.3;0.86;-0.18;0.04;0.29
"U1700.6.288";0.68;0.32;-0.17;-0.36;0.18
"U1705.2.319.pentitol.";0.46;0.52;0.51;0.11;-0.25
"U1718.0.157";0.96;0.18;0.09;0.02;0.01
"U1729.0.273";0.38;0.74;0.42;-0.18;0.05
"U1759.4.331";-0.12;0.93;0.03;-0.26;-0.15
"U1767.3.243";0.1;0.62;-0.59;0.11;0.08
"U1816.2.228";0.74;0.33;0.26;-0.26;-0.24
"U1837.6.368";0.35;-0.33;0.34;0.05;0.24
"U1841.9.394";0.06;-0.79;-0.08;0.5;0.11
"U1849.2.285";-0.5;-0.06;0.42;0.45;0.57
"U1852.0.217";0.73;0.58;0.19;-0.26;-0.01
"U1859.2.246";-0.12;0.42;0.7;0.1;-0.52
"U1872.1.204.methyl.hexopyranoside.";-0.28;0.61;0.37;-0.37;0.04
"U1897.2.327";0.47;-0.31;-0.12;-0.01;0.29
"U1904.9.204";0.81;0.12;0.5;-0.21;0.1
"U1927.0.204";-0.37;-0.03;0.28;0.28;0.79
"U1931.5.202";0.03;0.62;0.15;-0.5;-0.27
"U1939.1.210";-0.79;0.36;0.46;0;0.16
"U1958.217";0.28;0.88;0.22;-0.29;0.04
"U1983.0.217";0.47;0.09;0.79;0.2;0.27
"U1983.0.217.1";-0.87;0.23;0.23;0.08;-0.01
"U2003.8.293";0.5;0.15;-0.2;0.3;-0.3
"U2012.7.361";-0.9;0.3;0.15;0.03;-0.02
"U2053.6.321";0.24;0.85;0.35;-0.27;0.03
"U2053.6.321.1";0.94;-0.24;-0.02;-0.01;0.12
"U2076.9.204";0.36;-0.1;0.84;-0.01;0.08
"U2087.6.321";0;0.88;0.27;-0.36;0.04
"U2109.3.305";0.16;0.73;0.05;0.15;0.35
"U2150.9.279";-0.33;0.61;-0.37;-0.46;0.2
"U2170.6.361";0.93;0.32;0.16;-0.07;-0.05
"U2251.5.361";0.8;0.11;0.19;0.21;-0.18
"U2261.0.218";-0.56;-0.15;0.22;-0.29;-0.35
"U2271.6.249";0.02;0.85;-0.3;-0.27;-0.08
"U2278.6.361";0.7;0.14;0.57;-0.11;0.04
"U2282.4.349";-0.5;-0.06;0.42;0.45;0.57
"U2315.2.245";0.37;0.19;-0.45;-0.39;0.58
"U2371.1.361";0.78;-0.48;0.2;0.02;-0.03
"U2375.6.191";-0.05;0.35;-0.45;0.54;-0.13
"U2400.1.179";-0.31;-0.01;0.6;0.43;0.58
"U2412.1.157";-0.11;-0.06;0.39;-0.45;-0.58
"U2473.361";0.84;-0.5;0.13;0.02;0.08
"U2513.2.296";0.71;-0.48;-0.17;0.4;0.06
"U2513.2.296.1";-0.91;-0.09;0.03;-0.06;-0.18
"U2529.8.361";0.96;-0.22;-0.05;0.11;0.03
"U2550.7.149";0.72;0.08;0.51;-0.11;0.09
"U2588.9.535";-0.28;0.56;-0.21;0.55;-0.18
"U2688.5.333";-0.22;0.56;-0.63;0.2;-0.41
"U2692.9.361";0.95;-0.23;0.18;0.07;0.03
"U2731.2.160";0.52;0.28;0.66;-0.24;-0.05
"U2756.4.271";0.82;-0.51;0.03;0.09;0.06
"U2779.9.361";-0.33;0.66;-0.03;0.35;-0.26
"U2798.377";-0.85;0.31;-0.32;0.13;-0.07
"U2828.8.361";0.77;-0.5;0.21;0.01;-0.03
"U2839.3.312";-0.91;0.32;-0.13;-0.18;0.05
"U2857.8.342";0.95;0.04;0.17;-0.07;-0.06
"U2882.5.297";-0.92;0.26;-0.14;-0.22;0.01
"U2924.3.361";0.87;-0.45;0.11;0.03;0.05
"U2929.1.297";-0.91;0.23;0.21;-0.12;0
"U2942.2.556";-0.6;0.21;-0.13;0.72;-0.01
"U3008.3.457";-0.56;0.43;0.05;-0.56;0.14
"U3041.1.361";0.81;0.33;0.38;0.02;-0.06
"U3063.0.361";0.1;-0.63;0.07;0.6;0.02
"U3080.7.361";0.94;0.22;0.05;0.13;-0.13
"U3100.8.361";0.43;0.8;0.25;0.05;-0.21
"U3168.2.290";0.31;0.32;-0.72;-0.17;0.4
"U3188.1.361";0.7;-0.52;-0.01;-0.04;0.26
"U3213.1.400";-0.25;-0.11;0.35;-0.53;-0.62
"U3218.5.297";-0.98;0.05;0.04;-0.13;0.01
"U3279.7.361";0.95;-0.24;-0.09;0.12;0.03
"U3415.9.498";-0.8;-0.31;0.25;-0.22;0.02
"U3701.368";-0.77;0.3;-0.41;-0.34;0.1
"U3898.1.204";0.2;0.15;-0.52;-0.01;0.35
"U3910.6.597.Trigalactosylglycerol.";-0.14;0.59;0.03;-0.27;0.68
"U4132.5.575";-0.07;0.45;0.56;-0.64;0.18
"U1380.5.184";0;0.35;-0.49;0.49;-0.19
"U2443.7.217";0.01;0.63;-0.62;-0.17;0.28
