"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"Galactinol";0.99;-0.1;0.1;-0.01;0.07
"U1408.4.298";0.98;-0.12;0.03;0.04;0.05
"Threonine";0.97;0.07;0.16;0.11;0.07
"U3122.4.202.I3M.";0.97;-0.06;-0.12;0.12;0
"Digalactosylglycerol";0.96;0.17;-0.02;0.06;0.15
"U1718.0.157";0.96;0.18;0.09;0.02;0.01
"Asparagine";0.96;0.23;0.14;0.01;0.04
"U2529.8.361";0.96;-0.22;-0.05;0.11;0.03
"U1270.1.240";0.96;-0.23;-0.03;0.08;0.04
"Rhamnose";0.96;-0.2;0.09;0;0.12
"Aspartate";0.95;0.24;-0.05;0.14;-0.05
"U2857.8.342";0.95;0.04;0.17;-0.07;-0.06
"X4MTB";0.95;-0.28;0.03;0.04;0.05
"gamma.Tocopherol";0.95;0.22;-0.14;0.09;0.06
"Sulfite";0.95;-0.25;0.04;0.09;-0.06
"X7MTH";0.95;-0.24;-0.07;0.07;0.05
"U2692.9.361";0.95;-0.23;0.18;0.07;0.03
"U3279.7.361";0.95;-0.24;-0.09;0.12;0.03
"X6MTH";0.95;-0.24;-0.08;0.08;0.05
"X5MTP";0.94;-0.27;-0.02;0.06;0.03
"U2053.6.321.1";0.94;-0.24;-0.02;-0.01;0.12
"U3080.7.361";0.94;0.22;0.05;0.13;-0.13
"Isoleucine";0.94;0.27;0.14;0.15;-0.04
"Anhydroglucose";0.94;0.29;0.05;-0.15;0.05
"Serine";0.94;0.24;0.16;0.1;0.17
"U2170.6.361";0.93;0.32;0.16;-0.07;-0.05
"X8MTO";0.92;-0.11;-0.29;0.13;0.03
"Galactose";0.9;0.17;0;0.11;-0.34
"UGlucosinolatebreakdown140.4";0.89;0.19;0.39;0.08;0.03
"Glutamate";0.89;0.37;-0.26;0.05;0.02
"U2609.4.361";0.88;0.14;-0.37;0.21;-0.01
"Glucopyranose..H2O.";0.88;0.27;0.29;0.05;0.02
"U1393.172";0.87;-0.13;0.44;0;-0.02
"X5..methylthio.pentanenitrile";0.87;0.42;0.16;-0.1;-0.04
"U2924.3.361";0.87;-0.45;0.11;0.03;0.05
"UGlucosinolate140.1";0.86;-0.44;0.21;-0.01;0.07
"Glycerol.3.P";0.85;0.11;0.34;-0.11;-0.18
"Leucine";0.85;0.45;0.2;0.18;0
"H2SO4";0.84;0.37;-0.24;0.16;0.13
"U2473.361";0.84;-0.5;0.13;0.02;0.08
"Sucrose";0.83;0.4;-0.23;0.1;0.21
"U1628.9.233";0.83;-0.35;0.25;0.13;-0.16
"U2756.4.271";0.82;-0.51;0.03;0.09;0.06
"U3041.1.361";0.81;0.33;0.38;0.02;-0.06
"U1904.9.204";0.81;0.12;0.5;-0.21;0.1
