"";"Alanine";"Arginine";"Asparagine";"Aspartate";"Cystein";"Gaba";"Glutamine";"Glutamate";"Glycine";"Isoleucine";"Leucine";"Lysine";"Phenylalanine";"Proline";"Serine";"Threonine";"Tryptophan";"Tyrosine";"Valine";"alpha.Tocopherol";"beta.Sitosterol";"Campesterol";"gamma.Tocopherol";"Eicosanoate";"Heptadecanoate";"Linoleic.acid";"Linolenic.acid";"Stearic.acid";"Tetracosanoate";"Quercetin";"Quercitrin";"X4MTB";"X5..methylthio.pentanenitrile";"X5MTP";"X6MTH";"X7MTH";"X8MTO";"BenzoylGlucosinolate.2Breakdown";"BenzoylGlucosinolate.3Breakdown";"BenzoylX.Glucosinolate.3";"Hexanenitrile.6methylthio";"Nonanenitrile.9.methylthio";"Octanenitrile.8.methylthio";"Sulfite";"U2609.4.361";"U3122.4.202.I3M.";"UGlucosinolate140.1";"UGlucosinolatebreakdown140.4";"UGlucosinolatebreakdown140.5";"H2SO4";"X2.Hydroxyglutarate";"X2.Oxoglutarate";"Citrate";"Dehydroascorbate";"dihydroxybenzoate";"Erythronate";"Fumarate";"Galactonate";"Gluconate";"Glycerate";"Malate";"Maleate";"Pentonate.4";"Sinapinate.cis";"Sinapinate.trans";"Succinate";"Threonate";"Allantoin";"Arabitol";"beta.indole.3.acetonitrile";"Erythritol";"Ethanolamine";"Mannitol";"myo.Inositol";"Sorbitol";"Threitol";"Urea";"Xylitol";"Ethylphosphate";"Fructose.6.P";"Glycerol.3.P";"myo.Inositol.1.P";"Phosphate";"U2206.2.299";"Anhydroglucose";"Arabinose";"Digalactosylglycerol";"Fructose";"Galactinol";"Galactose";"Galactosylglycerol";"Glucopyranose..H2O.";"Glucose";"Mannose";"Raffinose";"Rhamnose";"Ribose";"Stachyose";"Sucrose";"U1093.6.147";"U1124.3.140";"U1125.1.140";"U1127.4.169";"U1127.5.140";"U1129.9.184";"U1154.3.156";"U1172.9.281";"U1270.1.240";"U1290.198";"U1371.5.151";"U1393.172";"U1408.4.298";"U1530.2.314";"U1541.8.263";"U1549.7.130";"U1559.4.217";"U1568.5.313";"U1592.8.217";"U1617.8.146";"U1628.9.233";"U1647.2.403";"U1700.6.288";"U1705.2.319.pentitol.";"U1718.0.157";"U1729.0.273";"U1759.4.331";"U1767.3.243";"U1816.2.228";"U1837.6.368";"U1841.9.394";"U1849.2.285";"U1852.0.217";"U1859.2.246";"U1872.1.204.methyl.hexopyranoside.";"U1897.2.327";"U1904.9.204";"U1927.0.204";"U1931.5.202";"U1939.1.210";"U1958.217";"U1983.0.217";"U1983.0.217.1";"U2003.8.293";"U2012.7.361";"U2053.6.321";"U2053.6.321.1";"U2076.9.204";"U2087.6.321";"U2109.3.305";"U2150.9.279";"U2170.6.361";"U2251.5.361";"U2261.0.218";"U2271.6.249";"U2278.6.361";"U2282.4.349";"U2315.2.245";"U2371.1.361";"U2375.6.191";"U2400.1.179";"U2412.1.157";"U2473.361";"U2513.2.296";"U2513.2.296.1";"U2529.8.361";"U2550.7.149";"U2588.9.535";"U2688.5.333";"U2692.9.361";"U2731.2.160";"U2756.4.271";"U2779.9.361";"U2798.377";"U2828.8.361";"U2839.3.312";"U2857.8.342";"U2882.5.297";"U2924.3.361";"U2929.1.297";"U2942.2.556";"U3008.3.457";"U3041.1.361";"U3063.0.361";"U3080.7.361";"U3100.8.361";"U3168.2.290";"U3188.1.361";"U3213.1.400";"U3218.5.297";"U3279.7.361";"U3415.9.498";"U3701.368";"U3898.1.204";"U3910.6.597.Trigalactosylglycerol.";"U4132.5.575";"U1380.5.184";"U2443.7.217"
"moyenne Low";"1.224";"1.139";"-1.111";"-1.23";"1.082";"0.087";"0.094";"-1.3";"-0.386";"-1.134";"-1.097";"-0.961";"0.866";"-0.016";"-1.098";"-1.082";"1.281";"0.465";"-0.99";"-0.493";"0.464";"-0.282";"-1.258";"1.277";"1.177";"0.978";"0.951";"1.113";"1.105";"0.942";"0.972";"-0.975";"-1.078";"-0.986";"-1.043";"-1.046";"-1.185";"-0.671";"0.928";"-1.27";"-0.984";"1.119";"0.166";"-1";"-1.289";"-1.181";"-0.689";"-0.959";"0.096";"-1.188";"0.309";"0.063";"-0.582";"0.442";"0.399";"-0.485";"0.049";"-1.124";"-1.063";"0.935";"-0.344";"0.65";"-1.17";"1.05";"0.013";"1.001";"-0.768";"-1.314";"0.26";"0.869";"0.599";"0.522";"-0.289";"0.23";"-0.819";"0.345";"-0.373";"1.155";"0.94";"0.429";"-0.815";"-0.787";"-0.839";"-0.241";"-1.112";"-0.9";"-1.167";"-0.641";"-1.034";"-1.103";"-0.476";"-0.927";"0.224";"-0.699";"1.159";"-0.948";"-0.135";"-0.845";"-1.209";"-0.956";"-0.611";"-0.759";"-0.059";"-0.678";"-0.713";"-0.018";"0.52";"-1.031";"-0.654";"0.311";"-0.719";"-1.057";"-0.683";"-0.248";"0.156";"0.797";"0.618";"-0.351";"-0.654";"-0.807";"-0.781";"-0.956";"-0.452";"-1.117";"-0.572";"-0.196";"-0.585";"-0.768";"-0.165";"0.06";"0.667";"-0.91";"0.291";"0.323";"-0.388";"-0.659";"0.48";"-0.25";"0.934";"-0.517";"-0.221";"0.982";"-0.645";"0.915";"-0.428";"-0.959";"0.012";"-0.173";"-0.382";"0.097";"-1.096";"-0.84";"0.85";"-0.512";"-0.493";"0.667";"-0.574";"-0.651";"-0.264";"0.538";"0.396";"-0.688";"-0.814";"1.057";"-1.06";"-0.502";"-0.058";"-0.314";"-0.92";"-0.283";"-0.721";"-0.083";"0.686";"-0.623";"0.931";"-0.949";"0.965";"-0.775";"1.122";"0.46";"0.688";"-0.854";"-0.018";"-1.196";"-0.697";"-0.741";"-0.535";"0.623";"1.183";"-1.07";"1.277";"0.655";"-0.468";"-0.008";"0.272";"-0.333";"-0.494"
"moyenne Medium";"-0.233";"-0.331";"0.058";"0.295";"-0.51";"0.705";"-0.334";"0.593";"-0.675";"0.136";"0.286";"0.676";"-0.207";"-0.201";"0.069";"-0.07";"-0.346";"0.351";"0.283";"-0.362";"0.609";"0.57";"0.336";"-0.386";"-0.537";"-0.489";"-0.361";"-0.52";"-0.653";"-0.299";"0.287";"-0.283";"0.241";"-0.248";"-0.15";"-0.15";"0.19";"0.297";"0.347";"0.724";"0.237";"0.016";"0.413";"-0.219";"0.505";"0.081";"-0.63";"-0.133";"-0.014";"0.485";"0.718";"-0.42";"0.886";"-0.36";"0.052";"0.872";"1.012";"0.839";"0.907";"0.202";"0.857";"0.461";"0.86";"0.016";"0.829";"0.18";"0.975";"0.768";"0.193";"0.383";"0.078";"-0.409";"0.109";"0.784";"0.827";"0.026";"-0.371";"-0.339";"-0.379";"-0.302";"-0.269";"0.703";"0.739";"0.486";"0.148";"0.936";"0.158";"0.655";"-0.201";"0.153";"-0.35";"-0.088";"-0.192";"0.077";"-0.341";"-0.31";"0.708";"0.911";"0.567";"1.032";"0.713";"-0.088";"0.565";"-0.103";"-0.314";"1.092";"-0.068";"-0.191";"0.063";"0.09";"-0.536";"-0.159";"0.959";"0.076";"0.348";"0.396";"0.078";"0.604";"0.554";"-0.376";"0.933";"0.39";"-0.07";"0.038";"0.344";"0.769";"0.947";"0.008";"-0.466";"-0.453";"-0.333";"0.248";"-0.211";"0.045";"-0.232";"-0.447";"-0.235";"0.49";"-0.052";"0.541";"-0.609";"0.093";"0.258";"0.247";"0.427";"-0.22";"-0.896";"0.498";"0.487";"0.75";"0.129";"-0.052";"-0.425";"1.034";"-0.493";"-0.333";"0.4";"-0.603";"0.636";"-0.473";"-0.525";"-0.607";"-0.142";"-0.037";"-0.14";"-0.502";"0.745";"1.162";"-0.372";"-0.457";"-0.526";"0.909";"0.614";"-0.623";"0.304";"-0.202";"0.245";"-0.52";"-0.096";"0.403";"0.049";"-0.068";"-0.36";"0.229";"0.507";"0.776";"-0.535";"-0.554";"-0.073";"-0.108";"-0.628";"0.55";"0.581";"0.384";"-0.245";"0.667";"0.989"
"moyenne Elevated";"-0.991";"-0.807";"1.053";"0.936";"-0.571";"-0.792";"0.239";"0.707";"1.061";"0.998";"0.811";"0.285";"-0.659";"0.217";"1.029";"1.152";"-0.935";"-0.816";"0.707";"0.855";"-1.073";"-0.288";"0.922";"-0.891";"-0.64";"-0.489";"-0.591";"-0.594";"-0.452";"-0.643";"-1.258";"1.258";"0.837";"1.234";"1.193";"1.196";"0.995";"0.374";"-1.275";"0.546";"0.748";"-1.135";"-0.579";"1.22";"0.783";"1.1";"1.319";"1.092";"-0.082";"0.703";"-1.027";"0.358";"-0.303";"-0.082";"-0.452";"-0.387";"-1.06";"0.285";"0.156";"-1.138";"-0.513";"-1.111";"0.309";"-1.066";"-0.843";"-1.182";"-0.207";"0.546";"-0.453";"-1.252";"-0.677";"-0.114";"0.18";"-1.015";"-0.008";"-0.371";"0.744";"-0.816";"-0.56";"-0.127";"1.084";"0.085";"0.1";"-0.245";"0.965";"-0.036";"1.009";"-0.014";"1.235";"0.95";"0.825";"1.015";"-0.032";"0.622";"-0.818";"1.258";"-0.574";"-0.066";"0.642";"-0.076";"-0.102";"0.847";"-0.505";"0.781";"1.027";"-1.075";"-0.452";"1.222";"0.591";"-0.401";"1.255";"1.216";"-0.275";"0.172";"-0.505";"-1.193";"-0.696";"-0.253";"0.101";"1.182";"-0.152";"0.566";"0.521";"1.079";"0.228";"-0.572";"-0.363";"0.76";"0.632";"0.392";"-0.333";"0.662";"-0.08";"-0.369";"0.62";"1.106";"-0.245";"-0.24";"-0.882";"-0.024";"0.83";"-1.074";"0.387";"-1.162";"0.001";"1.179";"0.884";"-0.325";"-0.104";"-0.847";"0.967";"0.892";"-0.425";"-0.522";"0.985";"-0.333";"0.174";"1.254";"-0.372";"-0.065";"0.128";"1.295";"0.955";"-1.02";"1.2";"1.005";"-0.686";"-0.848";"1.292";"0.739";"1.247";"-0.826";"-1.3";"1.246";"-1.235";"1.151";"-1.211";"1.295";"-1.026";"-0.862";"-0.737";"0.922";"0.378";"0.967";"0.19";"-0.035";"1.069";"-0.069";"-1.11";"1.178";"-0.649";"-1.205";"-0.112";"-0.376";"-0.027";"-0.333";"-0.494"
"pvalue_anova";"0";"0.012";"0.002";"0";"0.04";"0.19";"0.813";"0";"0.043";"0.003";"0.02";"0.092";"0.158";"0.905";"0.003";"0";"0";"0.242";"0.072";"0.201";"0.042";"0.546";"0";"0";"0.01";"0.098";"0.111";"0.027";"0.028";"0.11";"0";"0";"0.022";"0";"0";"0";"0.001";"0.415";"0";"0.001";"0.067";"0";"0.512";"0";"0";"0";"0";"0.008";"0.982";"0.008";"0.053";"0.691";"0.161";"0.672";"0.642";"0.186";"0.007";"0.012";"0.017";"0.005";"0.197";"0.027";"0.005";"0.004";"0.108";"0.001";"0.067";"0";"0.69";"0";"0.33";"0.572";"0.863";"0.048";"0.119";"0.737";"0.327";"0.009";"0.123";"0.706";"0.023";"0.195";"0.147";"0.652";"0.006";"0.05";"0.001";"0.322";"0";"0.008";"0.231";"0.024";"0.904";"0.3";"0.008";"0";"0.317";"0.074";"0.005";"0.017";"0.295";"0.134";"0.481";"0.21";"0.054";"0.002";"0.552";"0";"0.354";"0.73";"0.001";"0";"0.092";"0.895";"0.614";"0.005";"0.304";"0.499";"0.375";"0.006";"0.083";"0.11";"0.551";"0.001";"0.538";"0.264";"0.115";"0.178";"0.437";"0.645";"0.422";"0.127";"0.855";"0.751";"0.474";"0.028";"0.659";"0.647";"0.055";"0.492";"0.199";"0.008";"0.444";"0.004";"0.642";"0.002";"0.067";"0.628";"0.619";"0.138";"0.007";"0.083";"0.209";"0.063";"0.094";"0.422";"0.522";"0.002";"0.457";"0.524";"0.575";"0";"0.065";"0.007";"0";"0.081";"0.232";"0.006";"0";"0.324";"0.002";"0.081";"0";"0.002";"0";"0.003";"0";"0";"0.002";"0.196";"0.236";"0.067";"0.723";"0.001";"0.355";"0.183";"0.045";"0.401";"0";"0";"0.001";"0.006";"0.486";"0.709";"0.856";"0.422";"0.091"
"pvalue_anova_adj";"0.001";"0.033";"0.007";"0.002";"0.093";"0.298";"0.843";"0.001";"0.099";"0.011";"0.052";"0.17";"0.257";"0.909";"0.013";"0.002";"0";"0.347";"0.142";"0.302";"0.098";"0.643";"0.001";"0.001";"0.029";"0.178";"0.194";"0.067";"0.067";"0.194";"0";"0";"0.056";"0.001";"0.001";"0.001";"0.004";"0.54";"0";"0.004";"0.135";"0.001";"0.619";"0.001";"0.001";"0";"0";"0.024";"0.982";"0.023";"0.116";"0.744";"0.26";"0.731";"0.716";"0.293";"0.022";"0.033";"0.045";"0.018";"0.3";"0.066";"0.018";"0.015";"0.193";"0.004";"0.135";"0";"0.744";"0.002";"0.446";"0.663";"0.881";"0.107";"0.204";"0.773";"0.444";"0.025";"0.209";"0.755";"0.057";"0.3";"0.241";"0.718";"0.019";"0.11";"0.005";"0.443";"0";"0.023";"0.338";"0.06";"0.909";"0.422";"0.024";"0.001";"0.439";"0.145";"0.019";"0.045";"0.418";"0.224";"0.596";"0.312";"0.116";"0.007";"0.643";"0";"0.472";"0.769";"0.006";"0";"0.17";"0.909";"0.703";"0.018";"0.425";"0.607";"0.495";"0.019";"0.157";"0.194";"0.643";"0.004";"0.639";"0.376";"0.198";"0.285";"0.555";"0.716";"0.54";"0.213";"0.878";"0.783";"0.59";"0.067";"0.722";"0.716";"0.118";"0.603";"0.302";"0.024";"0.561";"0.014";"0.716";"0.007";"0.135";"0.711";"0.705";"0.228";"0.022";"0.157";"0.312";"0.134";"0.171";"0.54";"0.626";"0.007";"0.574";"0.626";"0.663";"0.001";"0.135";"0.022";"0";"0.156";"0.338";"0.021";"0";"0.444";"0.007";"0.156";"0.001";"0.008";"0.002";"0.013";"0.003";"0.001";"0.009";"0.3";"0.341";"0.135";"0.766";"0.004";"0.472";"0.291";"0.103";"0.527";"0";"0.001";"0.003";"0.02";"0.599";"0.755";"0.878";"0.54";"0.17"
"Medium-Low";"0.001";"0.039";"0.027";"0.002";"0.062";"0.68";"0.888";"0";"0.866";"0.026";"0.068";"0.092";"0.336";"0.978";"0.042";"0.012";"0";"0.987";"0.171";"0.982";"0.963";"0.604";"0.001";"0";"0.019";"0.133";"0.192";"0.045";"0.034";"0.219";"0.006";"0.005";"0.085";"0.02";"0.013";"0.01";"0.006";"0.502";"0.016";"0.001";"0.185";"0.004";"0.954";"0.023";"0";"0";"0.9";"0.204";"0.992";"0.017";"0.768";"0.853";"0.168";"0.655";"0.918";"0.217";"0.128";"0.012";"0.015";"0.224";"0.29";"0.93";"0.005";"0.075";"0.468";"0.059";"0.061";"0";"0.997";"0.218";"0.791";"0.557";"0.904";"0.618";"0.104";"0.933";"1";"0.03";"0.197";"0.704";"0.554";"0.175";"0.131";"0.701";"0.045";"0.042";"0.01";"0.294";"0";"0.054";"0.984";"0.295";"0.897";"0.6";"0.028";"0.024";"0.558";"0.063";"0.01";"0.014";"0.273";"0.606";"0.746";"0.722";"0.778";"0.033";"0.779";"0.004";"0.658";"0.967";"0.83";"0.001";"0.091";"0.935";"0.973";"0.585";"0.774";"0.529";"0.352";"0.558";"0.074";"0.178";"0.897";"0.017";"0.561";"0.456";"0.127";"0.55";"0.929";"0.833";"0.483";"0.269";"0.852";"0.949";"0.981";"0.914";"0.709";"0.692";"0.282";"0.463";"0.856";"0.171";"0.551";"0.25";"0.617";"0.131";"0.35";"0.734";"0.604";"0.624";"0.058";"0.462";"0.261";"0.09";"1";"0.483";"0.521";"0.988";"0.555";"0.499";"0.564";"0.929";"0.535";"0.083";"0.004";"1";"0.556";"0.026";"0";"0.973";"0.823";"0.316";"0.938";"1";"0.097";"0.182";"0.076";"0.455";"0.027";"0.997";"0.681";"0.442";"0.923";"0.006";"0.348";"0.163";"1";"0.375";"0";"0.008";"0.001";"0.964";"0.468";"0.9";"0.844";"0.483";"0.125"
"Elevated-Low";"0";"0.012";"0.001";"0";"0.054";"0.48";"0.986";"0";"0.091";"0.002";"0.019";"0.201";"0.15";"0.966";"0.003";"0";"0";"0.273";"0.07";"0.228";"0.073";"1";"0";"0";"0.015";"0.133";"0.122";"0.038";"0.055";"0.112";"0";"0";"0.02";"0";"0";"0";"0.001";"0.453";"0";"0.001";"0.063";"0";"0.669";"0";"0";"0";"0";"0.007";"0.98";"0.01";"0.13";"0.941";"0.916";"0.828";"0.619";"0.99";"0.082";"0.048";"0.096";"0.004";"0.97";"0.033";"0.022";"0.003";"0.437";"0.001";"0.641";"0";"0.714";"0";"0.306";"0.75";"0.87";"0.151";"0.482";"0.717";"0.386";"0.009";"0.139";"0.813";"0.021";"0.488";"0.412";"1";"0.005";"0.351";"0.001";"0.715";"0";"0.006";"0.26";"0.02";"0.959";"0.276";"0.008";"0";"0.844";"0.457";"0.008";"0.234";"0.793";"0.119";"0.858";"0.191";"0.054";"0.04";"0.527";"0";"0.328";"0.719";"0.002";"0";"0.802";"0.895";"0.739";"0.005";"0.28";"0.993";"0.636";"0.006";"0.597";"0.127";"0.527";"0.001";"0.637";"0.875";"0.94";"0.157";"0.62";"0.925";"0.483";"0.123";"0.915";"0.734";"0.49";"0.034";"0.703";"1";"0.047";"0.831";"0.373";"0.007";"0.469";"0.003";"0.879";"0.001";"0.376";"0.984";"0.946";"0.402";"0.006";"0.072";"0.261";"1";"0.127";"0.483";"0.668";"0.002";"0.991";"0.766";"0.948";"0";"0.057";"0.006";"0";"0.111";"0.688";"0.44";"0";"0.442";"0.002";"0.496";"0";"0.003";"0";"0.003";"0";"0";"0.002";"0.236";"0.212";"0.057";"0.899";"0.001";"0.538";"0.607";"0.066";"0.686";"0";"0";"0.001";"0.008";"0.906";"0.912";"0.944";"1";"1"
"Elevated-Medium";"0.026";"0.572";"0.052";"0.096";"0.993";"0.171";"0.81";"0.848";"0.048";"0.107";"0.564";"0.816";"0.798";"0.896";"0.085";"0.005";"0.003";"0.328";"0.773";"0.285";"0.053";"0.6";"0.061";"0.063";"0.97";"1";"0.935";"0.989";"0.922";"0.861";"0";"0";"0.497";"0.001";"0.002";"0.001";"0.064";"0.995";"0";"0.805";"0.688";"0.003";"0.508";"0.001";"0.443";"0.001";"0";"0.062";"0.997";"0.864";"0.053";"0.673";"0.277";"0.947";"0.837";"0.258";"0.006";"0.484";"0.329";"0.032";"0.217";"0.051";"0.397";"0.064";"0.093";"0.007";"0.201";"0.288";"0.757";"0.002";"0.625";"0.938";"0.997";"0.044";"0.464";"0.899";"0.387";"0.542";"0.96";"0.979";"0.079";"0.682";"0.641";"0.698";"0.181";"0.279";"0.063";"0.685";"0";"0.218";"0.319";"0.154";"0.984";"0.769";"0.535";"0";"0.299";"0.315";"0.98";"0.128";"0.571";"0.405";"0.454";"0.487";"0.129";"0.001";"0.896";"0";"0.791";"0.851";"0.003";"0";"0.206";"0.994";"0.614";"0.015";"0.602";"0.592";"0.843";"0.019";"0.266";"0.961";"0.776";"0.027";"0.99";"0.255";"0.195";"0.568";"0.428";"0.624";"1";"0.816";"0.989";"0.892";"0.591";"0.055";"1";"0.698";"0.387";"0.787";"0.194";"0.074";"0.987";"0.021";"0.88";"0.011";"0.057";"0.635";"0.783";"0.123";"0.187";"0.35";"1";"0.088";"0.127";"1";"0.962";"0.003";"0.486";"0.882";"0.74";"0";"0.237";"0.118";"0";"0.111";"0.209";"0.006";"0";"0.343";"0.004";"0.07";"0";"0.003";"0.002";"0.023";"0.004";"0";"0.076";"0.26";"0.569";"0.298";"0.702";"0.094";"0.917";"0.526";"0.066";"0.825";"0";"0.002";"0.997";"0.011";"0.7";"0.686";"0.969";"0.483";"0.125"
"Low";"c";"b";"a";"a";"a";"a";"a";"a";"ab";"a";"a";"a";"a";"a";"a";"a";"c";"a";"a";"a";"a";"a";"a";"b";"b";"a";"a";"b";"b";"a";"c";"a";"a";"a";"a";"a";"a";"a";"c";"a";"a";"c";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"ab";"a";"a";"b";"a";"b";"a";"b";"a";"b";"a";"a";"a";"b";"a";"a";"a";"ab";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"b";"a";"a";"b";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"b";"a";"b";"a";"b";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"c";"a";"b";"b";"a";"a";"a";"a";"a"
"Medium";"b";"a";"b";"b";"a";"a";"a";"b";"a";"b";"ab";"a";"a";"a";"b";"b";"b";"a";"a";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"b";"b";"ab";"b";"b";"b";"b";"a";"b";"b";"a";"b";"a";"b";"b";"b";"a";"ab";"a";"b";"a";"a";"a";"a";"a";"a";"b";"b";"b";"b";"a";"ab";"b";"ab";"a";"b";"a";"b";"a";"b";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"ab";"a";"a";"a";"b";"b";"b";"a";"b";"ab";"a";"ab";"a";"a";"a";"b";"a";"a";"b";"b";"a";"a";"a";"a";"a";"c";"a";"b";"a";"a";"a";"b";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"b";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"ab";"a";"a";"ab";"a";"a";"ab";"a";"b";"a";"a";"a";"a";"a";"a";"ab";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"a";"ab";"b";"a";"a";"b";"b";"a";"a";"a";"b";"a";"b";"a";"b";"a";"a";"a";"a";"a";"a";"b";"a";"a";"a";"a";"b";"b";"a";"b";"a";"a";"a";"a";"a"
