"";"low_1";"low_2";"low_3";"medium_1";"medium_2";"medium_3";"elevated_1";"elevated_2";"elevated_3";"clust"
"Alanine";1.20018030494475;1.05023378629876;1.42169479775171;-0.431590553524173;-0.0293249948800454;-0.23952561912092;-0.588844373762667;-1.24238224699176;-1.14044110071565;"1"
"Arginine";0.563133279970959;0.988336849153499;1.864340660489;-0.068039457835206;-0.762433376956857;-0.163785393983358;-0.190380823835911;-1.33033792059407;-0.900833816408056;"1"
"Cystein";0.590673921576179;0.368644079303494;2.28585546732246;-0.0178388216485877;-0.689854302573505;-0.823755537019455;-0.333804605711908;-0.879386710248707;-0.500533490999966;"1"
"Tryptophan";1.2669858559939;1.08583835475388;1.49006843417954;-0.42751170682612;-0.267331003112237;-0.344378881837671;-0.908617814050361;-0.921360715770832;-0.97369252333011;"1"
"Eicosanoate";1.11763362550936;1.25252200527804;1.4614117595539;-0.668781313567838;-0.358806238286125;-0.130533833829651;-0.99983175803475;-0.67378248858819;-0.99983175803475;"1"
"Heptadecanoate";0.78212338119396;1.24293482267509;1.5070080297229;-1.12160000857924;-0.76236776199029;0.273152390048843;-0.446393108764192;-0.306354667959955;-1.16850307634711;"1"
"Stearic.acid";0.0720073032043472;1.42695101617166;1.8410697212307;-0.894787354103206;-0.719706566169752;0.0558606846575398;-0.894787354103206;-0.279497642361077;-0.60710980852701;"1"
"Tetracosanoate";0.845252241990666;0.768898561139331;1.70219063134813;-1.3406719075489;-0.689071405211843;0.0700035219663273;-0.898448173163686;0.322107546647244;-0.78026101716727;"1"
"Quercitrin";1.06679472917571;0.892005769587239;0.956080133074347;-0.0343489142451599;0.418033634528375;0.476162311326848;-1.25824255448245;-1.25824255448245;-1.25824255448245;"1"
"BenzoylGlucosinolate.3Breakdown";0.868716895969307;0.793991971471376;1.12049297026944;0.390698131526239;0.413364429631238;0.236312425964886;-1.00882452774881;-1.42861630377666;-1.38613599330702;"1"
"Nonanenitrile.9.methylthio";1.09125137098215;0.973665797056841;1.2913592456624;0.165892721392425;0.155135267999271;-0.273335693780952;-0.773152572590241;-1.38202352681269;-1.24879260990921;"1"
"Glycerate";0.54946030797013;0.636936861000878;1.62004578379822;-0.360322549262855;0.422236920388514;0.54418812136969;-0.789460835887818;-1.31722342252221;-1.30586118685455;"1"
"Sinapinate.cis";1.76488415453049;0.729887371317758;0.656364803816399;0.175203106845747;-0.0501216353910085;-0.0777567405110022;-0.509243252169609;-1.4042087046349;-1.28500910380388;"1"
"Succinate";1.15902201202464;0.459783170016163;1.3850956878634;0.0291198558899735;0.218512779427278;0.293795038386351;-0.843703924106061;-1.47459017209508;-1.22703444740667;"1"
"beta.indole.3.acetonitrile";0.927599031059184;0.823453239377942;0.85621744359447;0.276279391903199;0.0481616600637726;0.825764960706652;-1.35859791300302;-0.849622383908899;-1.5492554297933;"1"
"Xylitol";0.687793921584135;0.800511950181399;1.97719096836059;-0.208143321293631;-0.667583651982195;-0.141956916796747;-0.437704800566243;-0.647395163135028;-1.36271298635228;"1"
"Raffinose";0.36331495561223;1.5298195858387;1.58431966360123;-0.544307144451616;-0.466896417008589;-0.0130808127570908;-0.435140185018801;-1.38156215926001;-0.636467486556056;"1"
"U1559.4.217";0.69043916971677;0.686906456593714;1.01318113021047;0.823414103614331;0.147428717161004;0.217174681498003;-0.565386122079029;-1.0489853786222;-1.96417275809306;"1"
"U1983.0.217.1";0.454475024552642;1.21125452097243;1.27915466275441;-0.146504388144651;0.713361785349598;-0.289020302621506;-0.44299946365867;-1.48075014307968;-1.29897169612458;"1"
"U2012.7.361";0.874741754794726;0.553759223033591;1.31733308981139;0.24867869585896;0.790977415014788;-0.298450781441707;-0.670461454686595;-1.39886381747146;-1.4177141249137;"1"
"U2513.2.296.1";0.884908444207555;1.44169885802987;0.844669341497262;-0.1563402612904;0.395922313791445;-0.351994574907482;-1.00545469922486;-0.319352629181341;-1.73405679292205;"1"
"U2839.3.312";0.921928652710029;1.07300288061896;0.797997672780969;0.704690452439372;-0.166954190196945;0.3738319475546;-0.991991770004174;-1.4881776501306;-1.22432799577221;"1"
"U2882.5.297";1.21114549752076;0.920755710385007;0.76431385287961;0.672039459361583;-0.292412946308185;0.356557897030267;-1.06286903901392;-1.33930889417486;-1.23022153768026;"1"
"U2929.1.297";1.28020797643527;0.811926377125861;1.27401430969148;0.113177540647102;-0.542677909548748;0.140918884229258;-0.39634580048021;-1.34061068905001;-1.34061068905001;"1"
"U3218.5.297";1.16877816489523;1.26239902186325;1.11824980756385;0.0610773890375151;-0.276713195858121;-0.00385627300887076;-1.01563031736124;-1.15673877982348;-1.15756581730814;"1"
"U3415.9.498";0.92220309228796;1.94182709488394;0.965606837990846;-0.597449513179819;-0.637525431841841;-0.648665520035271;-0.648665520035271;-0.648665520035271;-0.648665520035271;"1"
