"";"low_1";"low_2";"low_3";"medium_1";"medium_2";"medium_3";"elevated_1";"elevated_2";"elevated_3";"clust"
"Alanine";1,20018030494475;1,05023378629876;1,42169479775171;-0,431590553524173;-0,0293249948800454;-0,23952561912092;-0,588844373762667;-1,24238224699176;-1,14044110071565;"1"
"Arginine";0,563133279970959;0,988336849153499;1,864340660489;-0,068039457835206;-0,762433376956857;-0,163785393983358;-0,190380823835911;-1,33033792059407;-0,900833816408056;"1"
"Asparagine";-1,22827826528071;-1,00847362931774;-1,09653770245015;0,206281705535689;-0,120140928197798;0,0891311583830835;1,74931650917394;0,42626745563857;0,982433696515115;"3"
"Aspartate";-1,21497237741687;-1,19475335612692;-1,28135437297275;0,0627127923194481;0,319907636184842;0,501207246618466;1,32778977257067;0,393592298559026;1,0858703602641;"3"
"Cystein";0,590673921576179;0,368644079303494;2,28585546732246;-0,0178388216485877;-0,689854302573505;-0,823755537019455;-0,333804605711908;-0,879386710248707;-0,500533490999966;"1"
"Glutamate";-1,24804535190077;-1,22410515078994;-1,42720941792834;0,736092087428288;0,419861529995973;0,623338808357713;0,928624715578213;0,257901681257925;0,933541098000935;"3"
"Glycine";-0,920977379322571;-0,625077369972151;0,388848173194096;-1,01516874883388;-0,559661617640665;-0,450359655538732;2,06009456142506;0,25334184082423;0,868960195864607;"4"
"Isoleucine";-1,1681353104477;-1,21423141566685;-1,01829098795532;-0,0687856000941289;0,0849160410829856;0,391733705632544;1,72881788156126;0,339447755317293;0,924527930569918;"3"
"Leucine";-1,31677057296251;-1,1855765037407;-0,789084961117011;0,151098556885918;0,363309885439693;0,343076367630166;1,90160965287346;-0,0559580326734196;0,58829560766439;"3"
"Serine";-1,44613272157713;-1,10632317373292;-0,742084254615814;0,223414216029947;-0,128273197988971;0,111832680055903;1,6573404546768;0,337200913463436;1,09302508368875;"3"
"Threonine";-1,19943423170672;-1,18740755795478;-0,858737703143015;-0,137693026325631;-0,104360520614093;0,0325186474288394;1,54159903431138;0,660291553717791;1,25322380428623;"4"
