"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT1G01470.1";0.62;0.66;0.24;0.01;0.18
"AT1G01900.1";-0.68;-0.57;-0.28;-0.12;0.06
"AT1G02700.1";0.49;0.61;0.02;0.1;-0.11
"AT1G02780.1";0;-0.39;0.64;0.51;-0.18
"AT1G03030.1";0.91;-0.32;0.22;-0.03;0.02
"AT1G03880.1";0.5;0.14;0.09;-0.11;0.6
"AT1G03890.1";-0.67;0.55;0;0.26;0.38
"AT1G04170.1";0.55;-0.4;0.57;0.36;0.19
"AT1G04410.1";-0.4;-0.57;0.19;-0.53;0.44
"AT1G04480.1";0.53;-0.62;0.48;0.1;0.24
"AT1G04580.1";-0.27;0.09;-0.85;0.22;-0.25
"AT1G04660.1";0.67;-0.22;-0.35;-0.32;-0.39
"AT1G05510.1";0.6;-0.51;-0.24;0.09;-0.15
"AT1G07040.1";0.32;-0.08;0.4;-0.67;-0.2
"AT1G07140.1";0.87;0.2;-0.16;-0.04;0.28
"AT1G07645.1";0.27;0.63;-0.71;0.08;0.06
"AT1G07750.1";-0.78;0.02;-0.48;0.3;0
"AT1G07920.1";0.85;-0.21;0.05;0.09;0.21
"AT1G07985.1";-0.87;0.07;-0.02;0.22;0.39
"AT1G08110.1";0.77;0.25;0.31;-0.2;0.17
"AT1G08830.1";-0.19;0.8;0.04;0.3;0.37
"AT1G09010.1";0.55;-0.4;-0.36;0.44;-0.07
"AT1G09430.1";0.24;0.38;0.67;-0.04;-0.39
"AT1G09620.1";0.67;-0.58;-0.21;0.11;0.37
"AT1G09640.1";0.77;-0.49;0.05;0.38;-0.04
"AT1G10590.1";0.84;0.34;-0.12;0.02;0.13
"AT1G10670.1";0.08;0.81;-0.07;0.26;0.46
"AT1G11360.1";-0.16;-0.49;0.38;0.13;-0.28
"AT1G11650.2";-0.62;-0.07;0.29;0.45;-0.44
"AT1G11840.1";-0.52;0.35;0.4;-0.57;-0.19
"AT1G11860.1";0.34;-0.31;-0.06;-0.1;-0.77
"AT1G11910.1";-0.77;-0.42;-0.31;0.18;0.09
"AT1G12840.1";0.24;0.58;-0.62;0.19;0.07
"AT1G13930.1";-0.37;0.6;0.17;0.65;-0.02
"AT1G14170.1";-0.93;0.03;-0.07;-0.15;-0.31
"AT1G14930.1";-0.79;-0.51;-0.23;-0.02;0.01
"AT1G14940.1";-0.89;-0.03;-0.07;0.08;0.44
"AT1G14950.1";-0.88;-0.15;-0.12;0.38;-0.01
"AT1G15120.1";0.38;0.06;0.04;-0.77;-0.05
"AT1G15330.1";0.48;0.52;-0.55;0.22;-0.16
"AT1G15340.1";0.14;-0.11;0.95;0.19;-0.01
"AT1G15690.1";0.04;0.79;-0.05;0.29;0.42
"AT1G15930.1";0.54;0.12;-0.7;0.11;-0.09
"AT1G16030.1";-0.02;-0.65;-0.58;0.25;0.35
"AT1G16350.1";0.76;-0.17;-0.11;-0.06;-0.5
"AT1G16730.1";-0.31;0.27;0.54;0.24;-0.61
"AT1G16770.1";0.52;0.08;0.77;-0.05;-0.08
"AT1G16850.1";0.37;0.37;0.14;-0.21;0.49
"AT1G17100.1";-0.93;0.25;0.09;0.05;-0.05
"AT1G17290.1";0.02;0.4;0.74;-0.16;-0.22
"AT1G17370.1";-0.12;0.16;-0.38;0.7;-0.06
"AT1G18070.1";0.65;0.19;0.04;-0.36;-0.54
"AT1G18080.1";-0.55;-0.22;0.21;-0.66;0.24
"AT1G18100.1";-0.6;-0.28;-0.56;0.18;0.24
"AT1G18210.1";-0.23;0.3;-0.6;-0.47;0.17
"AT1G18270.1";-0.48;0.77;0.11;-0.27;-0.07
"AT1G18500.1";0.91;-0.18;0.33;0.07;0.07
"AT1G19570.1";0.71;0.54;-0.43;-0.01;-0.03
"AT1G19900.1";-0.61;0.66;-0.2;-0.2;-0.31
"AT1G20020.1";0.78;-0.35;0.37;-0.24;0.1
"AT1G20200.1";0.69;0.5;-0.35;-0.32;-0.15
"AT1G20260.1";0.83;-0.22;0.27;-0.18;-0.26
"AT1G20620.1";0.95;-0.26;0.14;-0.04;-0.02
"AT1G20630.1";0.38;-0.72;-0.22;0.47;-0.13
"AT1G21080.1";-0.52;0.1;-0.65;-0.01;0.22
"AT1G21670.1";-0.84;-0.07;-0.18;-0.36;0.01
"AT1G21750.1";0.61;-0.1;0.6;0.02;-0.12
"AT1G22300.1";0.37;0.67;-0.59;-0.19;-0.17
"AT1G22780.1";0.69;0;0.16;-0.25;0.37
"AT1G23190.1";0.02;0.78;0.17;0.01;0.42
"AT1G24360.1";0.28;0.7;0.33;0.39;-0.13
"AT1G24450.1";-0.16;0.44;-0.37;-0.43;-0.36
"AT1G26630.1";0.64;-0.18;0.01;0.06;0.26
