"";"Dim.1";"Dim.2";"Dim.3";"Dim.4";"Dim.5"
"AT5G57550.1";-0.99;-0.1;-0.08;0;0.04
"AT3G08030.1";-0.97;-0.09;0.03;-0.05;-0.08
"AT3G54400.1";-0.97;-0.05;-0.03;0.15;-0.1
"AT2G21660.1";-0.97;-0.02;-0.21;-0.1;-0.03
"AT2G05920.1";-0.96;0.15;0.16;0.02;-0.09
"AT1G64110.1";-0.96;-0.07;0.1;-0.05;-0.04
"AT3G60730.1";-0.96;0.2;-0.09;-0.11;0.07
"AT3G14067.1";-0.95;-0.09;0;0.01;0.16
"AT5G57110.1";-0.95;-0.01;0.22;0.19;0.04
"AT3G02480.1";-0.95;0.01;-0.24;0.01;0.01
"AT5G19140.1";-0.95;0.08;0.12;0.14;-0.06
"AT2G37970.1";-0.94;0.2;-0.09;0.1;0
"AT3G52850.1";-0.94;0.06;-0.09;-0.06;0.24
"AT3G18490.1";-0.94;-0.11;0.21;-0.2;0.07
"AT5G04885.1";-0.94;0.23;-0.06;-0.05;0.08
"AT1G14170.1";-0.93;0.03;-0.07;-0.15;-0.31
"AT1G17100.1";-0.93;0.25;0.09;0.05;-0.05
"AT2G28900.1";-0.93;0.09;-0.23;0.02;-0.1
"AT1G70840.1";-0.93;-0.02;0.08;0.02;0.3
"AT3G20820.1";-0.92;-0.23;0.13;0;0.02
"AT2G37220.1";-0.92;-0.22;0.13;0.01;0.12
"AT5G58070.1";-0.92;0.36;-0.07;-0.09;0.05
"AT1G49240.1";-0.91;-0.04;0.31;-0.03;0
"AT3G13300.1";-0.91;-0.21;0.18;0.13;0.06
"AT5G12950.1";-0.91;-0.01;-0.21;0.03;0.07
"AT5G09640.1";-0.91;-0.04;-0.15;0.29;-0.25
"AT2G04780.1";-0.9;0.01;0.31;-0.01;-0.18
"AT2G24270.1";-0.89;-0.07;-0.14;-0.29;0.12
"AT4G27520.1";-0.89;-0.08;-0.21;0.14;0.07
"AT1G63770.3";-0.89;-0.05;0.25;-0.01;0.02
"AT2G25970.1";-0.89;-0.24;-0.06;0.27;0.12
"AT1G14940.1";-0.89;-0.03;-0.07;0.08;0.44
"AT5G59310.1";-0.88;0.22;0.12;-0.29;0.2
"AT3G21720.1";-0.88;0.09;-0.09;0.22;-0.05
"AT1G14950.1";-0.88;-0.15;-0.12;0.38;-0.01
"AT2G43950.1";-0.88;0.2;-0.2;0.1;-0.02
"AT1G07985.1";-0.87;0.07;-0.02;0.22;0.39
"AT5G63800.1";-0.86;0.25;-0.25;0.32;0.09
"AT5G46290.1";-0.86;0.23;-0.06;0.02;0.3
"AT4G36360.1";-0.86;0.38;0.01;-0.21;0.26
"AT3G09440.1";-0.86;0.03;0.41;0.1;-0.18
"AT5G37510.1";-0.85;-0.27;0.36;-0.14;0.09
"AT2G05710.1";-0.85;0.04;0.29;-0.28;-0.32
"AT2G22420.1";-0.84;-0.07;0.41;0.29;-0.1
"AT3G63540.1";-0.84;0.16;-0.05;-0.43;-0.09
"AT4G34480.1";-0.84;-0.17;0.06;-0.22;0.13
"AT3G60340.1";-0.84;0.01;0.38;-0.29;-0.23
"AT1G21670.1";-0.84;-0.07;-0.18;-0.36;0.01
"AT5G15530.1";-0.84;0.21;-0.28;0.03;-0.11
"AT3G47930.1";-0.83;0.02;0.1;0;-0.39
"AT4G25130.1";-0.83;0.12;-0.08;0.42;0.19
"AT2G41260.1";-0.82;-0.19;0.25;-0.22;0.14
"AT3G06050.1";-0.82;0.42;0.1;0.18;-0.19
"AT3G55120.1";-0.81;-0.2;-0.26;0.33;-0.27
"AT5G55410.1";-0.81;0.32;-0.22;0.13;0.2
"AT1G47128.1";-0.81;-0.28;-0.38;0.23;-0.07
"AT3G08770.1";-0.81;-0.42;-0.19;-0.27;-0.14
"AT4G37550.1";-0.81;0.03;0.16;0.02;0.24
"AT4G05420.1";-0.8;-0.07;-0.15;0.32;0.12
