"";"x"
"AT1G01470.1";4
"AT1G01900.1";2
"AT1G03030.1";4
"AT1G03890.1";2
"AT1G04480.1";4
"AT1G07140.1";4
"AT1G07750.1";2
"AT1G07920.1";4
"AT1G07985.1";2
"AT1G08110.1";4
"AT1G09640.1";4
"AT1G10590.1";4
"AT1G11910.1";2
"AT1G14170.1";2
"AT1G14930.1";2
"AT1G14940.1";2
"AT1G14950.1";2
"AT1G17100.1";2
"AT1G18270.1";2
"AT1G18500.1";4
"AT1G19570.1";4
"AT1G19900.1";2
"AT1G20020.1";4
"AT1G20200.1";4
"AT1G20260.1";4
"AT1G20620.1";4
"AT1G20630.1";3
"AT1G21670.1";2
"AT1G30360.1";2
"AT1G43670.1";4
"AT1G47128.1";2
"AT1G47980.1";4
"AT1G49240.1";2
"AT1G52560.1";4
"AT1G56600.1";4
"AT1G57720.1";3
"AT1G63770.3";2
"AT1G64110.1";2
"AT1G65090.2";4
"AT1G65880.1";4
"AT1G66430.1";4
"AT1G68010.1";4
"AT1G68560.1";3
"AT1G70680.1";1
"AT1G70840.1";2
"AT1G71695.1";2
"AT1G72680.1";3
"AT1G74310.1";4
"AT1G77090.1";4
"AT1G77120.1";3
"AT1G77510.1";2
"AT1G78900.1";3
"AT1G79550.1";1
"AT2G01140.1";2
"AT2G04780.1";2
"AT2G05920.1";2
"AT2G19900.1";4
"AT2G20560.1";4
"AT2G21660.1";2
"AT2G21820.1";4
"AT2G22240.1";4
"AT2G22420.1";2
"AT2G22780.1";2
"AT2G23110.1";4
"AT2G24270.1";2
"AT2G25970.1";2
"AT2G28900.1";2
"AT2G29300.1";4
"AT2G30200.1";4
"AT2G32120.1";4
"AT2G33070.1";1
"AT2G34700.1";3
"AT2G34790.1";2
"AT2G36640.1";4
"AT2G37220.1";2
"AT2G37660.1";4
"AT2G37970.1";2
"AT2G38040.1";4
"AT2G38380.1";2
"AT2G43520.1";4
"AT2G43750.1";2
"AT2G43950.1";2
"AT2G44060.1";4
"AT2G46750.1";2
"AT3G01280.1";2
"AT3G02480.1";2
"AT3G05190.1";2
"AT3G06050.1";2
"AT3G08030.1";2
"AT3G12203.1";2
"AT3G12580.1";4
"AT3G12780.1";4
"AT3G12800.1";4
"AT3G12960.1";4
"AT3G13300.1";2
"AT3G14067.1";2
"AT3G14310.1";4
"AT3G14360.1";1
"AT3G14990.1";4
"AT3G16895.1";4
"AT3G17940.1";3
"AT3G18490.1";2
"AT3G20390.1";2
"AT3G20820.1";2
"AT3G21720.1";2
"AT3G22200.1";4
"AT3G23400.1";4
"AT3G23490.1";2
"AT3G23570.1";4
"AT3G26060.1";3
"AT3G26380.1";3
"AT3G27430.2";1
"AT3G29360.1";2
"AT3G44100.1";3
"AT3G44110.1";3
"AT3G44300.1";4
"AT3G47930.1";2
"AT3G51800.1";3
"AT3G51810.1";4
"AT3G52850.1";2
"AT3G52960.1";4
"AT3G53110.1";3
"AT3G54400.1";2
"AT3G55120.1";2
"AT3G57020.1";2
"AT3G58450.1";4
"AT3G58610.1";4
"AT3G60730.1";2
"AT3G62030.1";3
"AT3G63540.1";2
"AT4G01900.1";3
"AT4G02280.1";1
"AT4G05420.1";2
"AT4G09600.1";4
"AT4G10020.1";4
"AT4G10750.1";3
"AT4G11150.1";1
"AT4G12130.1";3
"AT4G16210.1";2
"AT4G16500.1";1
"AT4G16690.1";2
"AT4G16760.1";4
"AT4G20360.1";4
"AT4G21020.1";4
"AT4G21280.1";4
"AT4G24190.1";4
"AT4G25130.1";2
"AT4G27520.1";2
"AT4G29840.1";4
"AT4G30880.1";2
"AT4G32920.1";2
"AT4G34480.1";2
"AT4G35090.1";4
"AT4G35260.1";2
"AT4G36195.1";4
"AT4G36360.1";2
"AT4G37000.1";4
"AT4G37870.1";3
"AT4G39660.1";2
"AT5G01670.1";1
"AT5G03860.1";4
"AT5G04885.1";2
"AT5G07030.1";2
"AT5G09640.1";2
"AT5G11520.1";4
"AT5G11880.1";4
"AT5G12950.1";2
"AT5G14780.1";2
"AT5G15530.1";2
"AT5G18170.1";2
"AT5G19140.1";2
"AT5G19860.1";3
"AT5G20280.1";2
"AT5G20720.1";4
"AT5G20950.1";2
"AT5G22460.1";2
"AT5G26120.1";2
"AT5G26830.1";3
"AT5G28840.1";4
"AT5G34940.2";2
"AT5G35360.1";3
"AT5G36880.1";3
"AT5G38170.1";4
"AT5G40370.1";2
"AT5G42270.1";1
"AT5G43940.1";4
"AT5G44120.3";4
"AT5G44310.1";4
"AT5G46290.1";2
"AT5G47810.1";1
"AT5G48100.1";1
"AT5G50250.1";3
"AT5G50370.1";4
"AT5G50600.1";1
"AT5G50920.1";3
"AT5G51970.1";4
"AT5G52840.1";1
"AT5G55410.1";2
"AT5G57110.1";2
"AT5G57550.1";2
"AT5G57655.2";4
"AT5G58070.1";2
"AT5G58290.1";1
"AT5G59310.1";2
"AT5G61780.1";1
"AT5G63030.1";2
"AT5G63800.1";2
"AT5G64570.1";3
"AT5G66190.1";4
"AT5G66570.1";4
"AT5G66590.1";2
"AT5G66760.1";2
"ATCG00120.1";4
"ATCG00480.1";4
